text,tag
Interface is not a class,monitor
Static variable is shared by whole class,monitor
I made a mistake,monitor
"It contains static, which makes it so that it permanently changes the variables.",monitor
It's good.,monitor
I forgot to check for static in the getCarInfo method.,monitor
Isn't overloading multiple methods that have the same name with different parameters,monitor
I thought it would throw an exception that would be caught by the try-catch block,monitor
I clicked the wrong answer.,monitor
I didn't know if an interface can extend another one.,monitor
I assumed they have the same meaning,monitor
I read the code incorrectly,monitor
"I think the answer is false; T is not declared in the class name, the code won't work.",monitor
I got a chance question because the String[] isn't there,monitor
I'm not sure if both options are correct.,monitor
I missed that there was no <T> after the static keyword in line three.,monitor
Abstract Java classes can have instance variables,monitor
Type casting from int to float after multiplication.,monitor
I realized there should be a public static String[].,monitor
"I believe Professor is called without any parameters, and with parameters, it needs to use this() method.",monitor
It does not have static in its double new revenue.,monitor
Because new revenue isn't static.,monitor
"Since ingredient 2 contains a static, it is built-in within the system and can continue running.",monitor
I just didn't read the school sections and only looked at the numbers; I will review those next time.,monitor
"The keyword is 'extends', not 'interfaces', but the rest was true. I forgot to consider that.",monitor
I assumed 0 to be considered as null.,monitor
review in order,monitor
I got it right,monitor
This is indeed correct,monitor
I didn't realize I made an error,monitor
"I thought it was an error, but I need to review my code again.",monitor
I'm really surprised that this is wrong.,monitor
"Remember that each tree in a merge sort algorithm doesn't run in parallel, rather it runs per each tree, meaning that it will only need the space of a single tree for each iteration at any given point, which ends up being O(N).",monitor
"Oh, duh!",monitor
I did not realize that there is a recursion that happens before the print statement.,monitor
"5 is smaller than 6, but it seems on a lower level than 6",monitor
I noticed more values under 1000 than values divisible by 20.,monitor
"I forgot about the completeness property of heap. If I delete a node, something needs to replace it to maintain the parent-child relationship from left to right completeness property.",monitor
"This doesn't make any sense, I need to ask my tutor.",monitor
"I wouldn't put e at the start of the sorted array, that would result in an ascending sorted array. Instead I would put it at the end of the sorted array.",monitor
"I didn't do very well on this test. I struggled with some concepts, but I will review the material again to better understand where I went wrong and how to improve for next time.",monitor
I believe O(nlog(n)) has a greater time complexity than O(n).,monitor
I thought about part D and meant to put E at the beginning of the sorted part.,monitor
It would be very useful to provide solutions. I don't understand why you would get a false positive,monitor
"Yeah, just study the hashes and stuff.",monitor
I misread my notesheet,monitor
I didn't read the head.next.next carefully enough.,monitor
"I should take a note that ok, I will test the array size next time",monitor
"For selection sort, you first check if the length is nonzero. Then find the smallest element. Put it at the end and reduce the length by one.",monitor
"I struggled with some concepts, but I did well on others. In particular, I need to review my understanding of pointers and memory management.",monitor
I didn't do well. I need to review more.,monitor
I missed that line,monitor
Didn't consider all the changes that need to be noted,monitor
"I realized that if 8 doesn't move, it shouldn't count. I should also look for similar hesitations on the exam.",monitor
I finally understand now. Only knew how to delete the root node before.,monitor
I think the answer is wrong,monitor
"I didn't do well on this test, but I'll review my notes for the next one. ",monitor
I forgot,monitor
"I picked this answer, but for some reason it didn't go through?",monitor
Not correct here,monitor
I guess you would be able to use both,monitor
"I did well on some questions, but struggled with others.",monitor
I did not remember about type specifications,monitor
